title,description,content,url,published_at,source
Google Pixel Buds 2a Review: The Best Budget Earbuds,"These affordable earbuds are the best AirPods alternative for Android, with reliable active noise canceling and a replaceable battery in the case.","As usual, I love the matte white case that comes with these buds; it feels less sticky than the shiny cases from Apple and others, and it makes it slide into pants pockets like a puck on ice. One thi… [+1939 chars]",https://www.wired.com/review/google-pixel-buds-2a/,2025-10-14T11:00:00Z,Wired
Google will reportedly let 15 superfans test unreleased Pixel phones,"There are but three certainties in life: death, taxes, and Google’s next Pixel phone getting thoroughly leaked before the company can even announce it. (Multiple generations of Pixel have been publicly unboxed, disassembled, and even reviewed before Google ca…","<ul><li></li><li></li><li></li></ul>
A chance to play with the new Pixel.
A chance to play with the new Pixel.
by
Sean HollisterClose
Sean Hollister
Posts from this author will be added to your… [+2787 chars]",https://www.theverge.com/news/802866/google-pixel-superfans-test-new-phone-trusted-tester-program-report,2025-10-20T19:39:15Z,The Verge
Google Earth’s expanded AI features make it easier to ask it questions,"Google is expanding its AI features within Google Earth. It’s now easier to chat with Google Earth AI models, introduced in July, to identify infrastructure vulnerable to an oncoming storm, for example, or spot communities at risk of dust storms during a drou…","<ul><li></li><li></li><li></li></ul>
Gemini will now connect different Google Earth AI models for trusted tester users. 
Gemini will now connect different Google Earth AI models for trusted tester … [+2336 chars]",https://www.theverge.com/news/805303/google-gemini-earth-ai-features,2025-10-23T15:09:00Z,The Verge
Google Workspace Promo Code: Up to 14% Off in October 2025,"Save on your Google Workspace plan with verified promo codes from WIRED. Get 10% off Starter, 12% off Standard, or 14% off Plus plans for three months when you sign up before January 31, 2026.","Google Workspace is the modern business worlds de facto productivity suite, and its only gotten better over the years. Theres the centralization of Google Docs, Drive, and Gmail, of course, but Googl… [+2712 chars]",https://www.wired.com/story/google-workspace-promo-code/,2025-10-29T05:00:00Z,Wired
Google Maps can tell Polestar 4 drivers when to merge lanes,Google Maps is rolling out live lane guidance to drivers of the Google-powered electric Polestar 4. The company announced Tuesday that the new feature relies on the EV’s front-facing camera to “see” lane markings and road signs. That information feeds into Go…,"<ul><li></li><li></li><li></li></ul>
The live lane guidance feature in Google Maps is coming first to Polestar 4 cars in the US and Sweden.
The live lane guidance feature in Google Maps is coming f… [+3291 chars]",https://www.theverge.com/news/813315/google-maps-polestar-4-live-lane-guidance,2025-11-04T16:57:50Z,The Verge
"Google pitches Workspace tools for ‘when, not if’ Microsoft 365 fails","Google is trying to capitalize on what it calls “frequent and severe” Microsoft 365 outages by offering up services like email, storage, and videoconferencing to businesses in the event of a Microsoft outage. The search giant’s new Business Continuity plan ru…","<ul><li></li><li></li><li></li></ul>
Google wants businesses to use Gmail and Google Meet as a backup solution for Microsoft 365 outages.
Google wants businesses to use Gmail and Google Meet as a b… [+2954 chars]",https://www.theverge.com/news/800829/google-workspace-microsoft-365-tools-outage-marketing,2025-10-16T14:51:26Z,The Verge
Zocdoc CEO: ‘Dr. Google is going to be replaced by Dr. AI’,"Today’s Decoder episode is a special one: I’m talking to Zocdoc CEO Oliver Kharraz, and we chatted live onstage at the TechFutures conference here in New York City.  You’re almost certainly familiar with Zocdoc — it’s a platform that helps people find and boo…","<ul><li></li><li></li><li></li></ul>
Oliver Kharraz on competition, healthcare, and where AI really belongs in medicine.
by
Nilay PatelClose
Nilay Patel
Posts from this author will be added to y… [+60466 chars]",https://www.theverge.com/podcast/801767/zocdoc-ceo-oliver-kharraz-ai-medical-healthcare-doctors,2025-10-20T13:59:34Z,The Verge
Here’s how Google is choosing 15 fans to test the next Pixel,"Yesterday, we learned how Google plans to let 15 lucky fans try new Pixel phones while they're still in development, thanks to a Bloomberg scoop. We have now obtained copies of the official rules and entry form for that contest, as shared with fans by the hea…","<ul><li></li><li></li><li></li></ul>
Weve got the official rules and entry form, but its too late to enter now.
Weve got the official rules and entry form, but its too late to enter now.
by
Sean … [+12738 chars]",https://www.theverge.com/report/803702/google-pixel-superfan-contest-rules,2025-10-21T19:25:06Z,The Verge
"Hands-free home security is here, thanks to ADT and Google — but it’ll cost you","My front door unlocks automatically as I walk up to it, and the home security system disarms itself - no code or app required. The system has recognized me using the Google Nest Doorbell's Familiar Faces, and confirmed I'm me using my phone's location. The du…","<ul><li></li><li></li><li></li></ul>
ADT Plus, developed in partnership with Google, uses facial recognition to allow authorized users to enter the home for $40 a month.
If you buy something from a… [+17051 chars]",https://www.theverge.com/tech/803867/adt-plus-home-security-google-nest-smart-home,2025-10-23T11:47:26Z,The Verge
Apple is planning to use a custom version of Google Gemini for Apple Intelligence,"Apple is preparing to power its AI-upgraded Siri with a custom version of Google’s Gemini AI model, according to a report from Bloomberg’s Mark Gurman. The iPhone maker will reportedly pay Google around $1 billion annually to gain access to the technology, wh…","<ul><li></li><li></li><li></li></ul>
Apple will pay Google around $1 billion every year to help power AI features inside Siri, according to a report from Bloomberg.
Apple will pay Google around $1 … [+2992 chars]",https://www.theverge.com/news/814654/apple-intelligence-google-gemini-ai-siri,2025-11-05T20:12:33Z,The Verge
